Wall time,Step,Value
1696382522,42,-2.402750969
1696382523,45,-2.527742863
1696382531,71,-2.617909908
1696382539,94,-1.942673683
1696382562,167,-2.139035463
1696382580,229,-2.671750546
1696382582,234,-1.122986555
1696382588,255,-2.808136225
1696382594,273,-2.726957321
1696382605,308,-3.129230499
1696382606,310,-0.122027755
1696382608,318,-1.544001818
1696382657,474,-2.9337008
1696382676,536,-0.838841081
1696382690,579,-2.432487011
1696382692,586,-3.057632208
1696382707,634,-2.543337822
1696382711,647,-1.056469202
1696382732,714,-3.108879328
1696382734,722,-2.477895021
1696382759,802,-3.19263196
1696382760,808,-2.091144562
1696382769,836,-3.175232172
1696382810,971,-1.327914953
1696382823,1014,-2.403492689
1696382840,1066,-2.815574408
1696382852,1104,-2.032259941
1696382875,1180,-1.387304306
1696382900,1261,-3.148175001
1696382916,1316,-2.535097837
1696382916,1319,-2.526249409
1696382921,1333,-2.08967495
1696382922,1337,-2.129173517
1696382937,1385,-2.046963692
1696382939,1392,-1.351730227
1696382952,1436,-2.707127571
1696382961,1466,-2.778038263
1696382988,1552,-2.472530603
1696382999,1584,-1.531176686
1696383032,1691,-1.877965927
1696383045,1734,-2.991411686
1696383046,1737,-0.584472179
1696383079,1844,-1.743851304
1696383089,1877,-0.489674687
1696383101,1917,-1.657923698
1696383110,1947,-0.705135643
1696383138,2036,-2.603400946
1696383156,2096,-1.003527761
1696383184,2187,-2.038707256
1696383188,2199,-2.449466228
1696383197,2231,-2.902720213
1696383207,2262,-2.797970533
1696383221,2307,-2.40823555
1696383246,2389,-2.103927612
1696383261,2436,-2.279718637
1696383265,2453,-2.572942972
1696383266,2455,-1.816334367
1696383267,2460,-0.895496905
1696383275,2485,-0.694460213
1696383275,2486,-3.175055742
1696383279,2498,-2.547105074
1696383281,2503,-2.354330301
1696383290,2532,-0.522530675
1696383337,2685,-1.314976573
1696383353,2740,-1.718347311
1696383423,2967,-1.249745011
1696383447,3038,-2.126688957
1696383448,3041,-2.996206284
1696383489,3161,-0.922323346
1696383513,3230,-1.605996966
1696383518,3246,-2.525311232
1696383518,3247,-3.099830151
1696383539,3305,-1.476461172
1696383598,3480,-2.877792358
1696383645,3618,-1.538517475
1696383645,3620,-2.318867207
1696383661,3670,-1.271292448
1696383686,3741,0.56848228
1696383712,3814,-1.33067286
1696383714,3821,-3.007279158
1696383750,3928,-0.959897041
1696383759,3956,-0.477945328
1696383787,4036,-1.499082685
1696383808,4098,-1.377071381
1696383843,4196,-1.504659534
1696383855,4232,-2.621805191
1696383884,4317,-1.757642508
1696383911,4400,-1.404043078
1696383942,4492,-2.752923965
1696383947,4509,-1.644606709
1696383954,4530,-2.485225677
1696383998,4664,-0.76489234
1696383999,4668,-0.1775112
1696384001,4676,-1.769134641
1696384038,4788,-0.428520024
1696384043,4802,-1.199234366
1696384055,4840,-2.807549238
1696384073,4894,-0.900093019
1696384098,4971,-0.12962991
1696384123,5050,-0.351006061
1696384124,5052,-1.568966269
1696384142,5106,-2.505683661
1696384150,5134,-0.070392206
1696384219,5345,-3.072833538
1696384223,5359,0.392491519
1696384246,5420,-1.574348569
1696384288,5549,-0.757781029
1696384330,5679,-2.264761686
1696384344,5723,-1.476081014
1696384371,5808,-2.218675613
1696384390,5864,1.021565676
1696384393,5871,-0.917088449
1696384405,5907,0.040145572
1696384431,5990,0.442765623
1696384483,6131,-1.11395371
1696384509,6200,-0.978668809
1696384514,6219,-0.645412445
1696384546,6289,-1.643370628
1696384571,6312,-1.332634926
1696384598,6376,-2.778571367
1696384650,6520,-0.307607234
1696384671,6574,-2.083250523
1696384683,6603,-1.75825882
1696384720,6696,-2.128446341
1696384722,6699,-1.585256934
1696384726,6711,-2.520668268
1696384790,6854,-2.716590881
1696384831,6966,-2.07453537
1696384843,6992,-2.068044662
1696384885,7114,-0.41228053
1696384901,7155,-1.955595136
1696384956,7311,-1.299660802
1696384978,7382,-2.487371922
1696385001,7450,-1.011292577
1696385005,7460,-1.624474168
1696385005,7463,-0.653778672
1696385011,7478,-0.863186598
1696385021,7511,-1.663038135
1696385079,7693,-3.170505047
1696385110,7788,-1.871728182
1696385115,7798,-0.838904262
1696385128,7833,-2.085222721
1696385180,7991,-1.654997587
1696385203,8066,-1.417235374
1696385242,8180,-2.060869455
1696385257,8221,-2.184748173
1696385299,8363,-0.973569632
1696385301,8368,-1.602405787
1696385303,8377,0.356390178
1696385334,8470,-0.880068898
1696385344,8498,0.041327871
1696385347,8508,-1.737147927
1696385376,8601,-0.745620549
1696385385,8635,0.321201831
1696385404,8695,-1.299563408
1696385459,8878,-1.668737411
1696385467,8907,-2.098234415
1696385474,8928,-2.043526888
1696385476,8935,-0.457244456
1696385492,8993,-1.925754189
1696385513,9055,-1.47030139
1696385574,9260,-2.045773983
1696385591,9316,-1.792774558
1696385600,9348,-0.378021985
1696385625,9435,-1.874665737
1696385634,9468,-1.115193367
1696385661,9554,-1.545797348
1696385664,9567,-1.107189894
1696385693,9657,-1.554569483
1696385700,9680,-0.942077637
1696385706,9698,-2.984955788
1696385751,9843,-1.911162376
1696385769,9907,-0.53339541
1696385814,10058,0.362840921
1696385822,10084,-0.998454034
1696385882,10276,-0.954704762
1696385884,10283,0.819240391
1696385920,10399,1.572824836
1696385940,10479,0.136577144
1696385953,10522,-2.629513979
1696385977,10607,-2.519442797
1696385985,10638,-1.556619287
1696385989,10654,-0.362267166
1696386005,10711,-0.201757655
1696386019,10757,-0.84583056
1696386019,10758,-2.073340178
1696386025,10780,-1.988890171
1696386041,10841,-1.449164152
1696386044,10850,-1.126314878
1696386059,10902,-0.976970017
1696386059,10905,-0.561154664
1696386071,10943,-2.05469203
1696386077,10966,-1.14444232
1696386079,10972,-2.228496552
1696386079,10974,-0.514730752
1696386091,11020,-0.523435414
1696386115,11102,-0.052564468
1696386120,11121,-0.722254515
1696386123,11130,-1.543728828
1696386143,11198,-3.091192484
1696386144,11200,-1.472881913
1696386160,11260,-1.27091527
1696386203,11419,-0.546738029
1696386218,11472,-2.588783026
1696386223,11492,-0.011032547
1696386232,11523,-1.753830314
1696386234,11532,0.161944419
1696386244,11566,-2.225344658
1696386268,11648,0.050693557
1696386277,11685,-1.604088664
1696386297,11759,-0.222621024
1696386329,11873,-2.6642766
1696386355,11969,0.580513895
1696386356,11974,-1.2930969
1696386367,12010,1.610974908
1696386376,12041,-1.400841117
1696386402,12138,-1.217671871
1696386409,12164,-1.297056079
1696386415,12184,-0.833807588
1696386446,12290,-0.642083406
