Wall time,Step,Value
1698546798.637116,42,1.0
1698546798.708677,45,1.0
1698546799.524021,71,0.0
1698546805.504662,94,1.0
1698546820.198483,167,0.5
1698546830.692424,229,0.0
1698546831.18442,234,0.5
1698546834.965516,255,0.5
1698546839.118945,273,0.0
1698546846.107119,308,0.0
1698546846.315412,310,1.0
1698546847.4375,318,1.0
1698546877.433948,474,1.0
1698546887.926987,536,0.5
1698546893.787063,579,1.0
1698546894.601336,586,0.5
1698546900.101662,634,1.0
1698546902.071123,647,1.0
1698546910.133878,714,1.0
1698546911.106716,722,1.0
1698546921.197494,802,0.5
1698546921.607139,808,1.0
1698546925.038345,836,1.0
1698546941.338899,971,1.0
1698546945.713017,1014,1.0
1698546950.913702,1066,1.0
1698546954.66605,1104,0.5
1698546963.078506,1180,1.0
1698546972.660918,1261,1.0
1698546979.844423,1316,1.0
1698546980.136405,1319,1.0
1698546981.509979,1333,1.0
1698546981.906972,1337,1.0
1698546986.962368,1385,1.0
1698546987.431197,1392,1.0
1698546993.076951,1436,1.0
1698546996.782585,1466,1.0
1698547006.253781,1552,1.0
1698547011.532411,1584,1.0
1698547025.248205,1691,1.0
1698547030.39567,1734,1.0
1698547030.646213,1737,1.0
1698547043.516593,1844,1.0
1698547047.169802,1877,1.0
1698547052.269985,1917,1.0
1698547055.910864,1947,1.0
1698547066.400501,2036,1.0
1698547073.960106,2096,1.0
1698547090.756614,2187,1.0
1698547092.72877,2199,1.0
1698547097.563897,2231,1.0
1698547102.368711,2262,1.0
1698547109.133387,2307,1.0
1698547120.071591,2389,1.0
1698547127.8248,2436,1.0
1698547129.889199,2453,1.0
1698547129.92016,2455,1.0
1698547130.311634,2460,1.0
1698547133.216161,2485,1.0
1698547133.392971,2486,1.0
1698547135.758939,2498,1.0
1698547136.815112,2503,1.0
1698547139.731064,2532,1.0
1698547159.572037,2685,1.0
1698547167.373739,2740,1.0
1698547193.647968,2967,1.0
1698547202.683643,3038,1.0
1698547203.029764,3041,1.0
1698547217.438759,3161,1.0
1698547227.664926,3230,1.0
1698547229.501608,3246,1.0
1698547229.832643,3247,1.0
1698547236.572542,3305,1.0
1698547260.958127,3480,1.0
1698547276.520312,3618,1.0
1698547276.717887,3620,1.0
1698547283.342466,3670,1.0
1698547292.079736,3741,1.0
1698547301.125157,3814,1.0
1698547302.000741,3821,1.0
1698547316.279265,3928,1.0
1698547319.086148,3956,1.0
1698547327.965257,4036,1.0
1698547335.801482,4098,1.0
1698547348.028448,4196,1.0
1698547351.453028,4232,1.0
1698547361.407004,4317,1.0
1698547371.47857,4400,1.0
1698547381.843164,4492,1.0
1698547384.489675,4509,1.0
1698547386.453912,4530,1.0
1698547403.999553,4664,1.0
1698547404.997934,4668,1.0
1698547405.980938,4676,1.0
1698547421.058622,4788,1.0
1698547422.192773,4802,1.0
1698547426.617286,4840,1.0
1698547433.279364,4894,1.0
1698547443.813057,4971,1.0
1698547453.372673,5050,1.0
1698547453.498251,5052,1.0
1698547459.100155,5106,1.0
1698547462.517319,5134,1.0
1698547486.869897,5345,1.0
1698547488.398059,5359,1.0
1698547495.874279,5420,1.0
1698547510.737076,5549,1.0
1698547526.129945,5679,1.0
1698547530.686464,5723,1.0
1698547540.385663,5808,1.0
1698547547.168746,5864,1.0
1698547547.848666,5871,1.0
1698547552.773393,5907,1.0
1698547562.862805,5990,1.0
1698547579.426958,6131,1.0
1698547587.400574,6200,1.0
1698547589.632213,6219,1.0
1698547597.935317,6289,1.0
1698547600.49047,6312,1.0
1698547608.520058,6376,1.0
1698547625.38505,6520,1.0
1698547631.954865,6574,1.0
1698547634.716792,6603,1.0
1698547645.024699,6696,1.0
1698547645.632424,6699,1.0
1698547647.25549,6711,1.0
1698547664.224079,6854,0.5
1698547677.808896,6966,1.0
1698547681.03158,6992,1.0
1698547694.278462,7114,1.0
1698547698.625177,7155,1.0
1698547717.132985,7311,1.0
1698547725.770196,7382,1.0
1698547733.770903,7450,1.0
1698547735.706216,7460,1.0
1698547736.184144,7463,1.0
1698547738.188414,7478,1.0
1698547742.776114,7511,1.0
1698547763.825267,7693,1.0
1698547774.616588,7788,1.0
1698547776.025505,7798,1.0
1698547780.010829,7833,1.0
1698547799.529954,7991,1.0
1698547809.318847,8066,1.0
1698547824.543936,8180,1.0
1698547830.345789,8221,1.0
1698547847.755604,8363,1.0
1698547848.063288,8368,1.0
1698547848.870017,8377,1.0
1698547865.178442,8470,1.0
1698547873.005735,8498,1.0
1698547876.667546,8508,1.0
1698547889.392416,8601,1.0
1698547894.828318,8635,1.0
1698547903.138533,8695,1.0
1698547928.039176,8878,1.0
1698547931.042818,8907,1.0
1698547933.257002,8928,1.0
1698547934.017902,8935,1.0
1698547940.923874,8993,1.0
1698547947.428614,9055,1.0
1698547969.284016,9260,1.0
1698547976.209118,9316,1.0
1698547980.002409,9348,1.0
1698547990.237342,9435,1.0
1698547995.050287,9468,1.0
1698548005.823357,9554,1.0
1698548007.715998,9567,1.0
1698548017.86506,9657,1.0
1698548020.500588,9680,1.0
1698548022.69993,9698,1.0
1698548040.919061,9843,1.0
1698548048.821926,9907,1.0
1698548066.001591,10058,1.0
1698548068.836191,10084,1.0
1698548090.381606,10276,1.0
1698548090.984158,10283,1.0
1698548105.237827,10399,1.0
1698548114.088723,10479,1.0
1698548120.056615,10522,1.0
1698548129.589454,10607,1.0
1698548132.216035,10638,1.0
1698548134.318134,10654,1.0
1698548141.684559,10711,1.0
1698548146.95882,10757,1.0
1698548147.059822,10758,1.0
1698548149.664531,10780,1.0
1698548157.559133,10841,1.0
1698548158.297616,10850,1.0
1698548164.462779,10902,1.0
1698548164.807444,10905,1.0
1698548168.744409,10943,1.0
1698548170.998688,10966,1.0
1698548171.377424,10972,1.0
1698548171.600143,10974,0.5
